,Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished,lat,lng
0,15213,3408 Parkview Avenue Apartments,"Oakland, Pittsburgh, PA",795 - 1395,1-3,1,,Y,N,40.4306925,-79.9527988
1,15213,Dawson Village Apartments,"Oakland, Pittsburgh, PA",920,1,1,,Y,N,40.4389909,-79.9528168
2,15213,Centre Towers Apartments,"Shadyside, Pittsburgh, PA",780 - 955,Studio-1,1,,N,N,40.452776,-79.947715
3,15213,The Camelot Apartments,"North Oakland, Pittsburgh, PA",1392 - 2088,2,1-2,,N,N,40.450925,-79.952523
4,15213,Schenley Apartments,"North Oakland, Pittsburgh, PA",1395 - 2750,1-2,1-2,,Y,N,40.450199,-79.954562
5,15213,Oak Hill Apartments - Pittsburgh,"Terrace Village, Pittsburgh, PA",1080 - 1600,1-2,1-2,,Y,N,40.4428118,-79.97065289999999
6,15213,Royal Windsor Apartments,"North Oakland, Pittsburgh, PA",825 - 969,Studio-1,1,,N,N,40.4508529,-79.94982910000002
7,15213,University Commons Apartments,"North Oakland, Pittsburgh, PA",870 - 945,1,1,,N,N,40.4390875,-79.9633696
8,15213,Neville Street Properties - Student Housing,"North Oakland, Pittsburgh, PA",1030,1,1,,N,N,40.44941,-79.948889
9,15213,Sherwood Towers Apartments,"North Oakland, Pittsburgh, PA",1158 - 2497,Studio-3,1-2,,Y,N,40.4509587,-79.9511017
10,15213,University Loft Apartments,"Oakland, Pittsburgh, PA",2575,3,2,,N,N,40.4386951,-79.952362
11,15213,Chalfont Apartments,"Shadyside, Pittsburgh, PA",Contact For Price,Studio-2,1-2,,Y,N,40.452627,-79.948037
12,15213,Hampshire Hall Apartments,"Shadyside, Pittsburgh, PA",530 - 625,Studio-1,1,,N,Y,40.452626,-79.94836099999999
13,15213,Webster Hall Apartments,"North Oakland, Pittsburgh, PA",1850,2,2,,N,N,40.4468884,-79.95113719999999
14,15213,3445 Parkview Ave #HOUSE,"Oakland, Pittsburgh, PA",2600,5,2.5,,N,N,40.4356845,-79.95212029999999
15,15213,3201 Ophelia St,"Oakland, Pittsburgh, PA",1425,3,1,,N,N,40.43478899999999,-79.962233
16,15213,352 Melwood Ave,"North Oakland, Pittsburgh, PA",900,2,1,,Y,N,40.453871,-79.95156659999999
17,15213,335 Melwood Ave,"North Oakland, Pittsburgh, PA",850,2,1,,N,N,40.4531383,-79.95174639999999
18,15213,514 Semple St #2,"Oakland, Pittsburgh, PA",1200,2,1,,N,N,40.4361801,-79.9534789
19,15213,3237 Dawson St #2,"Oakland, Pittsburgh, PA",650,1,1,,N,Y,40.43096449999999,-79.9542219
20,15213,3753 Childs St,"Oakland, Pittsburgh, PA",2250,4,2.5,1836.0,N,N,40.4294078,-79.9512934
21,15213,3329 Parkview Ave,"Oakland, Pittsburgh, PA",2200,4,2,1300.0,N,N,40.4326332,-79.9529858
22,15213,236 Meyran Ave #1,"Oakland, Pittsburgh, PA",1175,2,1,450.0,N,Y,40.439461,-79.957284
23,15213,341 Meyran Ave #1,"Oakland, Pittsburgh, PA",800,1,1,,N,Y,40.4383873,-79.9553181
24,15213,3821 Bates St #2,"Oakland, Pittsburgh, PA",800,1,1,,N,Y,40.4393578,-79.952867
25,15213,514 Semple St #1A,"Oakland, Pittsburgh, PA",800,1,1,,N,Y,40.4361801,-79.9534789
26,15213,3731 Dawson St #1,"Oakland, Pittsburgh, PA",1800,4,1,,N,N,40.4381961,-79.9521489
27,15213,309 McKee Pl,"Oakland, Pittsburgh, PA",1750,3,1,,N,N,40.4383062,-79.9570629
29,15213,512 Semple St #2,"Oakland, Pittsburgh, PA",1800,3,1,,N,Y,40.436156,-79.9536384
30,15213,375 Meyran Ave #3,"Oakland, Pittsburgh, PA",700,1,1,,N,N,40.4377678,-79.95450629999999
31,15213,3292 Dawson St,"Oakland, Pittsburgh, PA",1800,3,1,1380.0,N,N,40.4327008,-79.9533478
32,15213,15 Oakland Sq,"Oakland, Pittsburgh, PA",2800,4,2,2607.0,N,N,40.4367289,-79.9516431
33,15213,336 Oakland Ave #2,"Oakland, Pittsburgh, PA",1400,2,1,,N,Y,40.4392935,-79.95451229999999
34,15213,420 Oakland Ave,"Oakland, Pittsburgh, PA",1450,2,1,,N,Y,40.4380938,-79.9528006
35,15213,3460 Dawson St #1,"Oakland, Pittsburgh, PA",2400,4,1,,N,N,40.4360788,-79.95263969999999
36,15213,3359 Parkview Ave,"Oakland, Pittsburgh, PA",1650,3,1,1100.0,N,N,40.4333579,-79.9526375
37,15213,3612 Dawson Street,"Oakland, Pittsburgh, PA",1950,3,1,,N,N,40.4367014,-79.95234239999999
38,15213,416 Oakland Ave #6,"Oakland, Pittsburgh, PA",1950,3,1,,N,N,40.4382094,-79.9531721
39,15213,3349 1/2 Parkview Ave,"Oakland, Pittsburgh, PA",1800,3,1.5,1050.0,N,N,40.433145,-79.9526812
40,15213,3201 Joe Hammer Sq,"Oakland, Pittsburgh, PA",1575,3,1,950.0,N,N,40.4347773,-79.962215
41,15213,416 Oakland Ave #4,"Oakland, Pittsburgh, PA",1875,3,1,,N,N,40.4382094,-79.9531721
42,15213,3212 Kennett Sq,"Oakland, Pittsburgh, PA",1860,3,1,1200.0,N,N,40.4345369,-79.9610592
43,15213,420 Semple St #2,"Oakland, Pittsburgh, PA",1800,3,1,,N,N,40.4365135,-79.9545078
44,15213,3530 Louisa St #4,"Oakland, Pittsburgh, PA",1695,2,1,700.0,N,N,40.438725,-79.957257
45,15213,3271 Kennett Sq,"Oakland, Pittsburgh, PA",1400,2,1,1248.0,N,N,40.434626,-79.960505
46,15213,3709 Dawson St #3,"Oakland, Pittsburgh, PA",750,Studio,1,400.0,N,N,40.4376042,-79.9525282
47,15213,369 Meyran Ave,"Oakland, Pittsburgh, PA",3000,4,2,1642.0,N,N,40.43786850000001,-79.9546481
48,15213,3325 1/2 Parkview Ave,"Oakland, Pittsburgh, PA",1650,3,1,,N,N,40.433145,-79.9526812
49,15213,401 N Neville St #C,"Shadyside, Pittsburgh, PA",675,Studio,1,,N,N,40.4514169,-79.9488456
50,15213,144 N Dithridge St,"North Oakland, Pittsburgh, PA",1700,2,1,983.0,N,Y,40.4482339,-79.950786
51,15213,3530 Louisa St #18,"Oakland, Pittsburgh, PA",1060,1,1,410.0,N,N,40.438725,-79.957257
52,15213,3707 Dawson St,"Oakland, Pittsburgh, PA",2025,3,1,1100.0,N,N,40.437432,-79.95247359999999
53,15213,15 Boundary St #1,"Oakland, Pittsburgh, PA",2595,4,2,1350.0,N,N,40.4393701,-79.951206
54,15213,3325 Parkview Ave #1,"Oakland, Pittsburgh, PA",2000,4,1.5,,N,N,40.432535,-79.952893
55,15213,360 Ophelia St,"Oakland, Pittsburgh, PA",2100,4,2,1500.0,N,N,40.4339215,-79.9609315
56,15213,3705 Dawson St,"Oakland, Pittsburgh, PA",2100,3,1,1000.0,N,N,40.4373142,-79.9525048
57,15213,355 Oakland Ave #1B,"Oakland, Pittsburgh, PA",800,Studio,1,,N,Y,40.4390834,-79.9534988
58,15213,331 Atwood St,"Oakland, Pittsburgh, PA",3900,6,3,2958.0,N,Y,40.4391111,-79.9548952
59,15213,336 Oakland Ave #3F,"Oakland, Pittsburgh, PA",800,Studio,1,,N,Y,40.4392935,-79.95451229999999
60,15213,3614 Dawson Street,"Oakland, Pittsburgh, PA",1800 - 2000,3-4,1,,N,N,40.4367668,-79.95229479999999
61,15213,3222 Kennett Sq,"Oakland, Oakland, PA",880,1,1,,N,N,40.4346037,-79.9610141
62,15213,416 Oakland Ave #5,"Oakland, Pittsburgh, PA",1950,3,2,,N,N,40.4382094,-79.9531721
63,15213,3322 Juliet St #1,"Oakland, Pittsburgh, PA",2100,4,2,,N,N,40.4338512,-79.95602490000002
64,15213,3408 Juliet St #1,"Oakland, Pittsburgh, PA",2100,4,2,,N,N,40.4343323,-79.95589369999999
65,15213,3410 Juliet St #1,"Oakland, Pittsburgh, PA",2100,4,2,,N,N,40.434387,-79.9558934
66,15213,335 Meyran Ave,"Oakland, Pittsburgh, PA",3900,6,3,,N,N,40.43854,-79.95546089999999
67,15213,416 Oakland Ave #7,"Oakland, Pittsburgh, PA",1875,3,1,,N,N,40.4382094,-79.9531721
68,15213,225 Melwood Ave #15,"North Oakland, Pittsburgh, PA",1100,1,1,776.0,Y,N,40.4507921,-79.9504848
69,15213,415 Semple St #2,"Oakland, Pittsburgh, PA",3300,6,2,,N,N,40.436943,-79.954341
70,15213,3716 Orpwood St #1,"Oakland, Pittsburgh, PA",425,,,,N,N,40.4294131,-79.95276989999999
71,15213,515 Cato St #3,"Oakland, Pittsburgh, PA",800,,,,N,Y,40.4332905,-79.9556971
72,15213,351 Atwood St,"Oakland, Pittsburgh, PA",5000,8,4,1600.0,Y,N,40.4386908,-79.954364
73,15213,3614 Bates St,"Oakland, Pittsburgh, PA",4300,7,3,,N,N,40.4373897,-79.9543116
74,15213,342 Meyran Ave,"Oakland, Pittsburgh, PA",5000,8,3,,N,N,40.4380905,-79.9556096
75,15213,3325 Ward St,"Oakland, Pittsburgh, PA",2750,5,3,2600.0,N,N,40.4339103,-79.9550354
76,15213,3228 Parkview Ave,"Oakland, Pittsburgh, PA",3100,5,1.5,1900.0,N,N,40.43017649999999,-79.9529225
77,15213,3313 Juliet St,"Oakland, Pittsburgh, PA",3450,6,3,2246.0,N,N,40.4336173,-79.9565056
78,15213,3442 Dawson St #1,"Oakland, Pittsburgh, PA",3400,6,2,2000.0,N,N,40.4357579,-79.9525938
79,15213,21 Wellsford St #1-2,"Oakland, Pittsburgh, PA",3600,6,2,,N,N,40.4354346,-79.95564329999999
80,15213,214 Dunseith St,"West Oakland, Pittsburgh, PA",3125,5,2,,N,N,40.4409308,-79.9647914
81,15213,515 Cato St,"Oakland, Pittsburgh, PA",800,2,1,,N,N,40.4332905,-79.9556971
82,15213,765 Broughton St #5,"Bloomfield, Oakland, PA",900,1,1,,Y,N,40.4547783,-79.94660340000001
83,15213,3221 Niagara St,"Oakland, Pittsburgh, PA",1200,3,1,1984.0,Y,N,40.4345406,-79.9601921
84,15213,264 Melwood Ave #1R,"North Oakland, Pittsburgh, PA",1200,4,2,1500.0,N,N,40.4518736,-79.95046289999999
85,15213,749 S Millvale Ave #42,"Bloomfield, Pittsburgh, PA",1080,2,1,,N,N,40.4554309,-79.94744690000002
86,15213,3209 Parkview Ave,"Oakland, Pittsburgh, PA",1096,2,1,1200.0,Y,N,40.4297128,-79.9536334
87,15213,358 Ophelia St,"Oakland, Pittsburgh, PA",1600,4,2,1320.0,N,N,40.4339417,-79.9609911
88,15213,3761 Childs St,"Oakland, Pittsburgh, PA",2250,5,3,1520.0,Y,Y,40.4295615,-79.9514389
89,15213,264 Melwood Ave #R1,"North Oakland, Pittsburgh, PA",1200,4,2,1500.0,N,N,40.4518736,-79.95046289999999
90,15213,67 Bates St,"Oakland, Pittsburgh, PA",1600,4,1.5,1798.0,Y,N,40.4333138,-79.958603
91,15213,155 Chesterfield Rd,"West Oakland, Pittsburgh, PA",1195,3,1,,N,N,40.440085,-79.9629533
92,15213,245 N Dithridge St #2,"North Oakland, Pittsburgh, PA",675,,,,N,Y,40.4501123,-79.95278309999999
93,15213,306 Ophelia St,"Oakland, Pittsburgh, PA",1700,5,2,1770.0,N,N,40.434827,-79.963154
94,15213,3203 Niagara St,"Oakland, Pittsburgh, PA",1350,3,2,1324.0,N,N,40.4340871,-79.9605266
95,15213,3418 Ward St #2,"Oakland, Pittsburgh, PA",760,2,1,852.0,N,N,40.4351526,-79.9541978
96,15213,3229 1/2 Ward St,"Oakland, Pittsburgh, PA",1695,4,1.5,,N,N,40.4316639,-79.9556522
97,15213,35 Enfield St,"Bloomfield, Pittsburgh, PA",2000,5,2,1760.0,Y,N,40.4559016,-79.9505406
98,15213,4 Edith Pl,"Oakland, Pittsburgh, PA",995,2,1,1102.0,N,N,40.4331559,-79.954494
99,15213,3444 Ward St #6,"Oakland, Pittsburgh, PA",1150,2,1,,N,N,40.4357887,-79.9539597
100,15213,340 N Craig St #3,"North Oakland, Pittsburgh, PA",1200,2,1,600.0,Y,N,40.4531853,-79.9524649
101,15213,344 N Craig St #4,"North Oakland, Pittsburgh, PA",1250,2,1,750.0,Y,Y,40.4533216,-79.9526047
102,15213,3221 Juliet St,"Oakland, Pittsburgh, PA",2100,6,3,,N,N,40.4323595,-79.9567679
103,15213,356 Ophelia St,"Oakland, Pittsburgh, PA",1800,4,2,1308.0,N,N,40.4339634,-79.96104079999999
104,15213,407 Semple St #6,"Oakland, Pittsburgh, PA",1200,2,1,1350.0,N,N,40.4369638,-79.9546584
105,15213,3235 Parkview Ave,"Oakland, Pittsburgh, PA",650,1,1,200.0,N,N,40.4304461,-79.9533485
106,15213,3232 Parkview Ave,"Oakland, Pittsburgh, PA",1750,4,2,1200.0,N,N,40.4303104,-79.9528998
107,15213,4 Wellsford St,"Oakland, Pittsburgh, PA",3850,7,3,,N,N,40.434997,-79.9552728
108,15213,3400 Juliet St,"Oakland, Pittsburgh, PA",1495,4,2,1744.0,N,N,40.434148,-79.95592649999999
109,15213,3223 Joe Hammer Sq,"Oakland, Pittsburgh, PA",2000,4,1,1675.0,N,N,40.43529160000001,-79.96183359999999
110,15213,222 Morewood Ave #2,"Bloomfield, Pittsburgh, PA",1025,2,1,,Y,N,40.4555004,-79.94604269999999
112,15213,414 McKee Pl #3,"Oakland, Pittsburgh, PA",1175,2,1,,Y,N,40.4360879,-79.9551551
113,15213,3235 Parkview Ave #102,"Oakland, Pittsburgh, PA",650,,,,N,Y,40.4304461,-79.9533485
114,15213,339 Oakland Ave,"Oakland, Pittsburgh, PA",3000,5,2,2630.0,N,N,40.4394666,-79.9540097
115,15213,3327 Niagara St,"Oakland, Pittsburgh, PA",995,2,1,,Y,N,40.43562259999999,-79.9596088
116,15213,3314 Dawson St,"Oakland, Pittsburgh, PA",1395,4,1,,N,N,40.4331848,-79.9532329
117,15213,3213 Ward St #A,"Oakland, Pittsburgh, PA",1200,2,1,,Y,N,40.4311795,-79.95549919999999
119,15213,371 S Bouquet St,"Oakland, Pittsburgh, PA",1500,3,1,,N,N,40.4397116,-79.95206929999999
120,15213,273 Robinson St,"West Oakland, Pittsburgh, PA",1495,3,1,,N,N,40.4424252,-79.965892
121,15213,331 Mckee Place,"Oakland, Pittsburgh, PA",1250 - 1800,2-3,1,,N,N,40.437969,-79.9564692
122,15213,229 N Dithridge St #3,"North Oakland, Pittsburgh, PA",1995,3,1,850.0,N,Y,40.4497328,-79.952561
123,15213,3319 Ward St,"Oakland, Pittsburgh, PA",1950,3,1,2203.0,N,N,40.4336775,-79.95505240000001
124,15213,344 Melwood Ave #1,"North Oakland, Pittsburgh, PA",1800,4,1,,Y,N,40.4535691,-79.9513808
125,15213,322 McKee Pl #1,"Oakland, Pittsburgh, PA",900,1,1,,Y,N,40.4371443,-79.9568444
127,15213,4628 Bayard St #B2,"North Oakland, Pittsburgh, PA",970,1,1,605.0,N,N,40.4499124,-79.9494357
128,15213,513 N Neville St #A4,"Shadyside, Pittsburgh, PA",975,1,1,,N,N,40.4500518,-79.94810249999999
129,15213,513 N Neville St #C2,"Shadyside, Pittsburgh, PA",975,1,1,,N,N,40.4500518,-79.94810249999999
130,15213,704 Enfield St,"Bloomfield, Pittsburgh, PA",1500,3,2,,Y,N,40.4560471,-79.9506413
131,15213,328 N Craig St #B,"North Oakland, Pittsburgh, PA",900,1,1,,N,N,40.452677,-79.9522796
132,15213,352 Semple St,"Oakland, Pittsburgh, PA",2300,4,2,1492.0,N,N,40.4375992,-79.95585
133,15213,3432 Ward St,"Oakland, Oakland, PA",1500,3,2,1952.0,N,N,40.4355822,-79.9541891
134,15213,2514 Allequippa St,"West Oakland, Pittsburgh, PA",2500,5,2.5,2225.0,N,N,40.441393,-79.9673703
135,15213,311 Morewood Ave #6,"Shadyside, Pittsburgh, PA",1995,3,1,1300.0,N,N,40.4538642,-79.94394989999999
136,15213,416 Semple St,"Oakland, Pittsburgh, PA",2200,4,2,,N,N,40.4366056,-79.95462619999999
138,15213,Craig House,"North Oakland, Pittsburgh, PA",1349,2,1,,N,N,40.4490241,-79.95060149999999
139,15213,21 Mackey St,"Oakland, Oakland, PA",1200,3,2,,N,N,40.4336165,-79.9594544
140,15213,3418 Ward St #3,"Oakland, Pittsburgh, PA",750,1,1,600.0,N,N,40.4351526,-79.9541978
141,15213,3621 Childs St,"Oakland, Pittsburgh, PA",1550,3,1,1400.0,N,N,40.4309373,-79.9522222
142,15213,344 Melwood Ave #2,"North Oakland, Pittsburgh, PA",2000,4,2,,Y,N,40.4535691,-79.9513808
143,15213,6 Enfield St #TWO,"Bloomfield, Pittsburgh, PA",2000,4,2,,Y,N,40.4560685,-79.9506815
144,15213,3211 Ward St #A,"Oakland, Pittsburgh, PA",1200,2,1,,Y,N,40.4311948,-79.9555981
145,15213,3715 Parkview Ave,"Oakland, Pittsburgh, PA",3450,6,3,2444.0,N,N,40.437593,-79.95143399999999
146,15213,221 Atwood St #A,"Oakland, Pittsburgh, PA",1500,2,1,800.0,N,N,40.4406368,-79.9569398
147,15213,221 Atwood St #L,"Oakland, Pittsburgh, PA",1500,2,1,800.0,N,N,40.4406368,-79.9569398
148,15213,121 Chesterfield Rd,"West Oakland, Pittsburgh, PA",1900,3,1,,N,N,40.4396245,-79.9623404
149,15213,205 Robinson St #8,"West Oakland, Pittsburgh, PA",975,1,1,,Y,N,40.44059670000001,-79.9659131
150,15213,3611 Boulevard Of The Allies,"Oakland, Pittsburgh, PA",1700,3,1.5,1400.0,N,N,40.4347189,-79.953994
151,15213,338 Oakland Ave,"Oakland, Pittsburgh, PA",1380,2,1,,N,N,40.439259,-79.95444049999999
152,15213,3301 Juliet St #2,"Oakland, Pittsburgh, PA",1800,3,1,,N,N,40.4333275,-79.9565712
153,15213,4917 Centre Ave #101,"Bloomfield, Pittsburgh, PA",1499,2,1.5,1100.0,N,N,40.4539106,-79.9458295
154,15213,3266 Niagara Sq,"Oakland, Oakland, PA",1395,2,1,,N,N,40.4345434,-79.95953589999999
155,15213,376 Meyran Ave #2,"Oakland, Pittsburgh, PA",1600,3,1,20.0,N,N,40.4374662,-79.95477919999999
157,15213,3401 Forbes Ave #108,"Oakland, Pittsburgh, PA",1450,2,1,,N,N,40.438781,-79.9613679
158,15213,3261 Parkview Ave,"Oakland, Pittsburgh, PA",1590,3,2,1824.0,N,N,40.4311181,-79.95316199999999
159,15213,"3 bed, $1,875","Oakland, Pittsburgh, PA",1875,3,1,,Y,N,40.4379259,-79.9556424
160,15213,3297 Kennett Sq,"Oakland, Pittsburgh, PA",1100,1,1,561.0,Y,N,40.434343,-79.960724
161,15213,332 Atwood St,"Oakland, Pittsburgh, PA",2500,6,2,,N,N,40.4388059,-79.9550958
162,15213,363 Semple St,"Oakland, Pittsburgh, PA",2500,5,2,1358.0,N,N,40.4375514,-79.9553037
163,15213,Sussex Apartments,"Oakland, Pittsburgh, PA",780,Studio+,1,,Y,N,40.4379301,-79.95758289999999
164,15213,3624 Bates St #1,"Oakland, Pittsburgh, PA",1999,3,2,,N,N,40.4377311,-79.9540908
165,15213,417 Semple St #2,"Oakland, Pittsburgh, PA",3250,5,2,,N,N,40.436894,-79.954278
166,15213,3624 Bates St #2,"Oakland, Pittsburgh, PA",1199,1,1,,N,N,40.4377311,-79.9540908
167,15213,320 Ophelia St,"Oakland, Pittsburgh, PA",2100,4,3,,N,N,40.43461870000001,-79.96249139999999
168,15213,336 Joncaire St,"Oakland, Pittsburgh, PA",2000,4,2,,N,N,40.440325,-79.953021
169,15213,3410 Allequippa St,"West Oakland, Pittsburgh, PA",2200,3,1.5,930.0,N,N,40.442837,-79.9654599
170,15213,373 Semple St,"Oakland, Pittsburgh, PA",3700,6,2,,N,N,40.4374395,-79.9550873
171,15213,263 Robinson St,"West Oakland, Pittsburgh, PA",1595,3,2,2250.0,N,N,40.4420654,-79.9658956
172,15213,3202 Niagara St,"Oakland, Pittsburgh, PA",1600,3,2,,N,N,40.4338981,-79.9600659
173,15213,352 N Craig St #4,"North Oakland, Pittsburgh, PA",1295,3,3,,N,N,40.4536521,-79.95277949999999
174,15213,King Edward Annex,"North Oakland, Pittsburgh, PA",1100,1,1,,Y,N,40.4502749,-79.9500486
175,15213,18 Wellsford St #1-2,"Oakland, Pittsburgh, PA",3300,6,2,,N,N,40.4353568,-79.95521629999999
176,15213,352 S Bouquet St,"Oakland, Oakland, PA",3800,5,2,,N,N,40.4397787,-79.95275649999999
177,15213,166 N Dithridge St #5J,"North Oakland, Oakland, PA",1000,1,1,,N,N,40.448595,-79.95133229999999
178,15213,3720 Parkview Ave,"Oakland, Pittsburgh, PA",2400,3,1.5,,N,N,40.4376118,-79.9509011
179,15213,311 Meyran Ave #1,"Oakland, Pittsburgh, PA",2600,4,1,,N,N,40.438997,-79.956113
180,15213,412 Morewood Ave,"Shadyside, Pittsburgh, PA",3250,3,3,2150.0,N,Y,40.452624,-79.9439699
181,15213,367 S Bouquet St,"Oakland, Pittsburgh, PA",5400,6,3,,N,N,40.4397822,-79.9522004
182,15213,12 Ellsworth Ter,"Shadyside, Oakland, PA",3350,3,2.5,,Y,N,40.4498443,-79.9469
183,15213,504 N Neville St #12,"North Oakland, Oakland, PA",3500,2,2,,Y,N,40.45017290000001,-79.9487716
184,15213,3526 Frazier St,"Oakland, Oakland, PA",3000,3,3.5,,Y,N,40.4309503,-79.9559591
185,15217,Phillips Ave Apartments,"Squirrel Hill South, Pittsburgh, PA",905,1,1,,N,N,40.428391,-79.924308
186,15217,Wendover Apartments,"Squirrel Hill South, Pittsburgh, PA",1070 - 1535,1-2,1,,Y,N,40.43204000000001,-79.928715
187,15217,Maxon Towers Apartments,"Squirrel Hill North, Pittsburgh, PA",1360 - 3200,1-3,1-2,,N,N,40.4381792,-79.91844900000001
188,15217,Morrowfield Apartments,"Squirrel Hill South, Pittsburgh, PA",840 - 1275,Studio-1,1,,Y,N,40.428391,-79.924308
189,15217,Hobart Court Apartments,"Squirrel Hill South, Pittsburgh, PA",1388 - 1703,2,1,,Y,N,40.432967,-79.92724199999999
190,15217,Hempstead Properties,"Squirrel Hill South, Pittsburgh, PA",1396 - 1581,2,1,,Y,N,40.4279178,-79.9128443
191,15217,Walnut Towers at Frick Park Apartments,"Squirrel Hill South, Pittsburgh, PA",1215 - 2110,1-2,1-1.5,,Y,Y,40.4267788,-79.90929729999999
192,15217,Forbes Terrace Apartments,"Squirrel Hill North, Pittsburgh, PA",2235 - 4038,3-4,1-2.5,,Y,N,40.4383595,-79.9250343
193,15217,The Gateway at Summerset Apartments,"Squirrel Hill South, Pittsburgh, PA",1511 - 2644,1-2,1-2,,Y,N,40.4149382,-79.9219182
194,15217,Walnut on Wightman Apartments,"Squirrel Hill South, Pittsburgh, PA",3380,4,2.5,,Y,N,40.4267788,-79.90929729999999
195,15217,Beacon Commons Apartments,"Squirrel Hill South, Pittsburgh, PA",Contact For Price,3,1.5-2,,Y,N,40.434773,-79.926018
196,15217,Walnut on the Park Apartments,"Squirrel Hill South, Pittsburgh, PA",Contact For Price,1-2,1,,Y,N,40.4298081,-79.93145609999999
197,15217,4350 Murray Ave #1,"Greenfield, Pittsburgh, PA",800,2,1,1100.0,Y,N,40.4204309,-79.92869069999999
199,15217,4111 Windsor St,"Greenfield, Pittsburgh, PA",1295,3,1,1700.0,N,N,40.42465,-79.92886229999999
200,15217,2360 Eldridge St,"Squirrel Hill South, Pittsburgh, PA",1050,2,1,,Y,N,40.4298782,-79.9227272
